"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"35210","3.31071794","1.5218E-4","0.30204929","0.06593407","14","7","false","Q92783","111.64285714","14","0","0","0.76892821","false","0","Q92783","657820","0.09473108"
"35213","3.56930838","2.905E-5","0.28016632","0.13333333","6","7","false","Q9P0K7","102.83333333","6","0","0","0.74306916","false","0","Q9P0K7","77456","0.17641997"
"35216","3.1663986","9.4824E-4","0.31581621","0.0148448","39","6","false","P30519","69.87179487","39","0","0","0.78336014","false","0","P30519","3629378","0.04312427"
"35218","3.48779061","7.635E-5","0.28671446","0.0","8","7","false","P00387","175.625","8","0","0","0.75122094","false","0","P00387","594708","0.1762109"
"35223","3.49890335","1.3549E-4","0.28580384","0.0","17","7","false","Q04721","48.35294118","17","0","0","0.75010967","false","0","Q04721","296892","0.06660048"
"35225","3.24850124","2.0232E-4","0.30783427","0.05238095","21","6","false","O15126","67.28571429","21","0","0","0.77514988","false","0","O15126","699056","0.06238051"
"35227","3.42725545","1.6498E-4","0.29177866","0.05714286","15","7","false","P53367","81.93333333","15","0","0","0.75727446","false","0","P53367","604862","0.08937729"
"35229","3.64278403","4.107E-5","0.27451531","0.0","4","7","false","O15127","187.75","4","0","0","0.7357216","false","0","O15127","159300","0.2851145"
"35232","3.60403568","8.648E-5","0.27746673","0.0","8","7","false","O15173","173.625","8","0","0","0.73959643","false","0","O15173","534050","0.21338072"
"35237","3.46519959","1.2739E-4","0.28858367","0.02222222","10","7","false","O15258","141.9","10","0","0","0.75348004","false","0","O15258","599786","0.15765363"
"35239","3.64176049","1.6267E-4","0.27459247","0.06666667","6","7","false","O75489","133.33333333","6","0","0","0.73582395","false","0","O75489","634488","0.19282946"
"35242","3.34654189","7.641E-5","0.29881592","0.0","6","6","false","Q8IZ21","230.33333333","6","0","0","0.76534581","false","0","Q8IZ21","458722","0.17944705"
"35244","3.72335137","6.44E-6","0.26857524","0.0","4","7","false","Q9HAD4","229.5","4","0","0","0.72766486","false","0","Q9HAD4","128082","0.3697411"
"35246","3.44962714","2.5362E-4","0.2898864","0.03636364","11","7","false","Q9UGP8","168.36363636","11","0","0","0.75503729","false","0","Q9UGP8","1676248","0.15309257"
"35248","3.48822927","1.1188E-4","0.2866784","0.03571429","8","7","false","Q86XL3","151.0","8","0","0","0.75117707","false","0","Q86XL3","393482","0.18080626"
"35253","3.81101038","3.472E-5","0.26239761","0.0","5","7","false","O15440","85.0","5","0","0","0.71889896","false","0","O15440","46192","0.2"
"35258","3.19915192","4.2643E-4","0.31258284","0.04369748","35","6","false","Q9UKE5","44.85714286","35","0","0","0.78008481","false","0","Q9UKE5","1272756","0.03481655"
"35260","3.74345665","2.551E-5","0.26713279","0.0","4","7","false","O43301","109.5","4","0","0","0.72565434","false","0","O43301","28212","0.25"
"35266","3.26071063","1.2723E-4","0.30668161","0.06410256","13","7","false","P49757","105.07692308","13","0","0","0.77392894","false","0","P49757","526788","0.08575756"
"35268","3.57142857","5.301E-5","0.28","0.0","8","7","false","Q8IW50","73.125","8","0","0","0.74285714","false","0","Q8IW50","115336","0.12543478"
"35271","3.63686211","9.27E-5","0.27496231","0.07142857","8","6","false","Q9Y6B7","73.625","8","0","0","0.73631379","false","0","Q9Y6B7","224178","0.12828947"
"35287","3.86123702","0.0","0.25898436","0.0","1","7","false","O60245","401.0","1","0","0","0.7138763","false","0","O60245","0","0.0"
"35290","3.64607399","2.571E-5","0.27426761","0.13333333","6","7","false","Q9UPM8","102.5","6","0","0","0.7353926","false","0","Q9UPM8","101842","0.17257883"
"35292","3.82512063","3.4E-7","0.26142966","0.0","2","7","false","O60353","321.5","2","0","0","0.71748794","false","0","O60353","17746","0.69825708"
"35296","3.6179266","2.357E-5","0.27640141","0.0","2","7","false","O60503","331.5","2","0","0","0.73820734","false","0","O60503","108854","0.50381098"
